Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
6,18,12,0.999642837,0.999961132,0.026726865,0.008816853
6,18,13,0.999702478,0.999949308,0.024393515,0.010068955
6,18,14,0.999707908,0.999940978,0.024169892,0.010864799
6,18,15,0.99964435,0.99994418,0.026670197,0.010566029
6,18,16,0.999713248,0.999946423,0.023947935,0.010351489
6,18,17,0.999667273,0.999937448,0.025796411,0.011184963
6,19,2,0.99995553,0.999995644,0.009430754,0.002951762
6,19,3,0.999950952,0.999991365,0.009904335,0.004155631
6,19,4,0.999978991,0.999995981,0.006482053,0.002835246
6,19,5,0.999979424,0.999993625,0.006415017,0.003570601
6,19,6,0.999959234,0.99999469,0.009029554,0.003258702
6,19,7,0.999978761,0.999992494,0.006517495,0.003874611
6,19,8,0.999966278,0.999995446,0.0082124,0.003017996
6,19,9,0.99996188,0.999995361,0.008731544,0.003045848
6,19,10,0.99996211,0.999996032,0.008705179,0.002816941
6,19,11,0.999971415,0.999995609,0.007561067,0.002963403
6,19,12,0.999971491,0.999994564,0.007550998,0.003297396
6,19,13,0.999967702,0.999994863,0.008037166,0.003205239
6,19,14,0.999973995,0.999996102,0.007211757,0.002792103
6,19,15,0.999968468,0.999994409,0.007941277,0.00334398
6,19,16,0.999968518,0.999995938,0.007934934,0.002850128
6,19,17,0.999967752,0.999995746,0.00803098,0.002916962
6,19,18,0.999966579,0.999994847,0.008175669,0.003210383
6,20,2,0.999983241,0.999998111,0.005789468,0.001943492
6,20,3,0.999991938,0.999996219,0.004015445,0.002749861
6,20,4,0.99998878,0.999997288,0.004737093,0.00232897
6,20,5,0.99998315,0.999997408,0.005805119,0.002277009
6,20,6,0.999986887,0.999996975,0.005121071,0.002459817
6,20,7,0.999986866,0.999997095,0.005125243,0.002410258
6,20,8,0.999981825,0.999997246,0.006029126,0.002346775
6,20,9,0.999975528,0.999997165,0.006996025,0.002381133
6,20,10,0.999981992,0.999997285,0.00600125,0.002330261
6,20,11,0.999981968,0.999996272,0.0060054,0.002730396
6,20,12,0.999982128,0.999996602,0.005978651,0.002606886
6,20,13,0.999983349,0.999996458,0.005770788,0.002661555
6,20,14,0.999981836,0.999997082,0.006027326,0.002415588
6,20,15,0.999981487,0.9999974,0.006084972,0.002280212
6,20,16,0.999981118,0.999996218,0.00614528,0.00275044
6,20,17,0.999980606,0.999996479,0.006228,0.002653666
6,20,18,0.999982764,0.999996361,0.005871299,0.002697662
6,20,19,0.999980486,0.999996437,0.006247185,0.002669403
7,3,2,0.998687881,0.999765046,0.051227309,0.021677341
7,4,2,0.979710446,0.998383247,0.201442566,0.05686393
7,4,3,0.991531647,0.997563459,0.130141101,0.069807459
7,5,2,0.989993243,0.996816192,0.141469126,0.079797338
7,5,3,0.898003418,0.996655823,0.451656023,0.08178236
7,5,4,0.987380543,0.996023384,0.158867602,0.089180891
7,6,2,0.999775356,0.999858157,0.02119641,0.016842985
7,6,3,0.999633198,0.999898132,0.027085131,0.014273647
7,6,4,0.999723038,0.999919591,0.023535598,0.01268142
7,6,5,0.999732577,0.999929697,0.023126737,0.011857754
7,7,2,0.998956645,0.99967007,0.045680522,0.025687742
7,7,3,0.998420934,0.999384905,0.056197255,0.035074065
7,7,4,0.997258531,0.999607252,0.074046861,0.028026712
7,7,5,0.998270352,0.999725926,0.058815774,0.023412548
7,7,6,0.998839682,0.999656949,0.048172988,0.026193559
7,8,2,0.999327926,0.999562894,0.03666262,0.029567087
7,8,3,0.997927978,0.999552758,0.064374254,0.02990794
7,8,4,0.99784812,0.999364109,0.065603053,0.035662064
7,8,5,0.997647462,0.999608378,0.068593558,0.027986487
7,8,6,0.998557571,0.999580886,0.053710871,0.028952184
7,8,7,0.999002337,0.999635587,0.044669066,0.026996776
7,9,2,0.999941443,0.999964897,0.010821953,0.008378852
7,9,3,0.999908447,0.999961982,0.013531677,0.008719891
7,9,4,0.999906211,0.999971251,0.013695885,0.007582797
7,9,5,0.999695021,0.999966871,0.024697319,0.008139915
7,9,6,0.999842754,0.99996639,0.017733934,0.008198811
7,9,7,0.999903984,0.999966149,0.013857556,0.008228121
7,9,8,0.999864056,0.999968166,0.016489049,0.007979274
7,10,2,0.999568935,0.999733474,0.029362057,0.023087941
7,10,3,0.999329803,0.999779272,0.036611398,0.021010873
7,10,4,0.999492296,0.99985664,0.031865458,0.016932826
7,10,5,0.99941967,0.999787323,0.034068474,0.020624098
7,10,6,0.999002778,0.99980604,0.044659206,0.019695674
7,10,7,0.99936084,0.999800497,0.035753606,0.019975141
7,10,8,0.99944902,0.999870296,0.033195768,0.016106174
7,10,9,0.999270618,0.999825457,0.038193762,0.018683824
7,11,2,0.997842718,0.999897573,0.065685344,0.014312703
7,11,3,0.998182836,0.999882029,0.060285386,0.01536038
7,11,4,0.999709733,0.999915253,0.024094276,0.013019013
7,11,5,0.999774127,0.999943213,0.021254331,0.010657134
7,11,6,0.999716873,0.999943006,0.023796102,0.010676542
7,11,7,0.999775344,0.999934485,0.021196959,0.011446817
7,11,8,0.999799602,0.999941238,0.020019865,0.010840808
7,11,9,0.999622888,0.999925002,0.027463146,0.012247323
7,11,10,0.99968901,0.999924336,0.024939537,0.012301553
7,12,2,0.999899699,0.999978838,0.01416342,0.006505719
7,12,3,0.999827866,0.999946842,0.018554472,0.010310949
7,12,4,0.999876059,0.999970568,0.015744276,0.007672281
7,12,5,0.99987825,0.999973436,0.015604471,0.007288914
7,12,6,0.999876119,0.999982231,0.015740466,0.005961459
7,12,7,0.999852431,0.999962485,0.017179571,0.008662026
7,12,8,0.999829497,0.99996522,0.018466329,0.008340263
7,12,9,0.999849964,0.999978419,0.017322569,0.006569782
7,12,10,0.999798434,0.999964641,0.020078163,0.008409371
7,12,11,0.999821796,0.999967747,0.018878746,0.008031623
7,13,2,0.999821708,0.999902827,0.018883453,0.013940818
7,13,3,0.962571471,0.99986533,0.273600179,0.016411557
7,13,4,0.999637931,0.999928277,0.026909824,0.011976906
7,13,5,0.999725752,0.999925944,0.023420008,0.01217012
7,13,6,0.999695235,0.999911073,0.024688644,0.013336182
7,13,7,0.99961033,0.999924723,0.027916665,0.01227008
7,13,8,0.999719287,0.99992501,0.023694412,0.012246633
7,13,9,0.999728022,0.999918071,0.023322869,0.012800719
7,13,10,0.9997528,0.999915013,0.022235117,0.013037444
7,13,11,0.99976793,0.999916523,0.021543909,0.01292106
7,13,12,0.999436004,0.999917909,0.033585592,0.012813376
7,14,2,0.999838853,0.999928075,0.017952566,0.011993772
7,14,3,0.835070948,0.999905085,0.574332746,0.013777914
7,14,4,0.999625291,0.999916779,0.027375515,0.012901269
7,14,5,0.99976467,0.999927239,0.021694701,0.012063264
7,14,6,0.999741387,0.999906131,0.022742597,0.013701772
7,14,7,0.999730546,0.999954386,0.0232144,0.009551288
7,14,8,0.999612036,0.999957063,0.027855492,0.009266827
7,14,9,0.99961455,0.999959548,0.027765097,0.008994635
7,14,10,0.999551625,0.99994103,0.029945788,0.010860039
7,14,11,0.999603779,0.99995636,0.028150329,0.009342379
7,14,12,0.999610925,0.999957489,0.027895327,0.009220786
7,14,13,0.9995471,0.999938473,0.030096521,0.011092998
7,15,2,0.999925485,0.999962475,0.012207816,0.008663168
